id,score,descendants,new_score,new_descendants
35459488,7,1,75,14
35459596,6,1,11,2
35459973,7,5,29,15
35460178,6,2,17,14
35460208,6,2,37,60
35461011,55,8,844,426
35461255,7,3,20,5
35463339,12,12,30,56
35463782,9,2,18,5
35463790,6,4,13,25
35464150,30,7,60,12
35464884,7,0,10,0
35464933,41,56,63,126
35465336,6,0,13,0
35465729,78,23,936,399
35467981,11,0,64,11
35468043,6,0,77,48
35468202,21,18,78,79
35468260,7,2,7,4
35468304,21,11,204,76
35468637,21,8,154,119
35468647,47,53,64,105
35468753,138,35,1790,588
35468786,15,2,54,15
35468855,37,0,364,493
35469033,14,2,59,83
35469276,9,1,148,115
35469379,7,0,7,0
35469632,21,0,138,68
35469635,26,21,52,63
35469733,6,0,6,0
35470019,15,8,41,58
35470905,28,0,464,167
35470915,16,3,627,126
35471071,8,3,18,6
35471129,7,2,329,129
35471420,6,0,213,27
35472335,6,4,20,18
35472378,6,1,7,1
35472410,7,3,9,6
35472430,6,0,33,4
35473213,15,1,15,
35473422,8,2,279,588
35473826,24,1,30,1
35473858,7,0,26,3
35473989,16,4,18,
35474000,7,0,13,3
35474145,23,3,126,84
35474239,8,0,8,0
35474837,29,1,136,62
35474860,6,0,9,1
35474895,10,1,199,153
35475482,45,25,214,263
35476647,18,3,64,88
35476709,9,3,390,277
35477053,11,0,17,1
35477671,7,1,14,2
35477742,28,3,31,4
35479867,13,7,96,142
35480629,13,2,117,104
35480711,10,0,93,102
35481309,13,0,142,31
35481363,10,5,35,32
35481449,9,1,20,4
35481546,6,2,6,2
35481580,14,6,149,122
35481914,9,2,9,3
35481970,40,33,49,114
35482075,7,0,9,0
35482158,15,5,16,7
35482185,12,3,58,144
35482222,12,0,407,273
35482636,9,0,176,14
35482681,16,5,67,53
35482706,11,1,41,97
35483356,10,1,26,13
35483539,6,2,224,33
35483626,10,0,10,
35483669,67,11,92,14
35483692,22,1,54,
35483823,33,15,546,457
35484414,13,0,13,0
35484775,22,9,74,116
35484811,6,0,31,112
35485064,9,1,63,13
35485145,7,1,17,2
35485552,7,4,104,109
35485877,8,0,17,6
35485976,17,1,55,14
35486125,7,1,8,1
35486152,8,0,14,1
35486277,9,1,63,15
35486496,13,5,14,5
35486664,6,0,21,4
35487200,26,22,62,75
35487253,9,3,17,4
35487287,6,0,19,1
35487302,14,2,77,75
35487303,12,7,35,75
35487831,16,3,16,3
35487873,6,0,6,1
35488172,12,1,56,55
35488599,16,3,53,66
35489141,8,6,9,7
35489160,7,0,23,6
35490227,7,0,12,1
35490289,13,2,134,81
35490899,14,1,68,77
35491362,6,0,11,0
35491662,12,1,93,54
35491859,7,3,30,17
35492036,8,0,46,7
35492137,7,0,104,23
35492307,20,1,387,166
35492672,12,0,276,199
35493009,6,0,11,1
35493046,45,11,150,148
35493233,9,0,43,34
35493444,8,2,37,10
35493487,26,3,71,10
35494258,21,1,35,7
35494266,10,2,70,65
35494272,6,5,11,8
35494366,20,4,286,161
35494382,19,1,250,83
35494849,7,0,28,1
35494941,44,18,191,193
35495070,12,3,102,11
35495579,14,16,283,300
35495584,8,0,10,
35495827,6,0,75,13
35496107,14,4,63,121
35496154,9,3,17,4
35496365,8,2,60,59
35496712,12,0,308,138
35496871,24,13,214,214
35496879,7,3,8,
35496898,6,1,8,2
35497188,7,2,49,40
35497433,41,8,53,16
35498416,6,0,36,23
35499855,13,1,89,7
35500901,11,5,31,55
35501718,20,4,149,49
35501732,15,4,72,73
35501868,11,1,104,117
35501969,12,0,254,107
35502187,37,4,499,117
35502238,9,1,118,121
35502252,9,1,61,57
35502684,58,9,223,133
35502965,8,0,38,39
35503089,6,2,73,40
35503675,12,2,16,3
35503784,30,8,203,148
35503966,6,0,8,
35504249,10,3,57,24
35504351,13,0,73,2
35504389,11,8,64,56
35504428,32,1,791,504
35504989,8,2,86,97
35505591,21,1,195,38
35505647,34,19,101,70
35505766,8,5,41,29
35505953,6,0,43,80
35506304,18,3,128,48
35506401,10,1,246,247
35506620,7,2,15,7
35507099,6,1,97,129
35507933,12,1,175,53
35508677,11,1,158,28
35508857,9,0,28,5
35508922,6,2,16,13
35509175,15,2,276,75
35510612,6,1,176,349
35510800,8,1,80,19
35510899,14,5,98,73
35511106,38,3,503,145
35511139,9,0,148,16
35511357,9,1,561,262
35511941,10,1,12,2
35512025,13,2,93,24
35512035,20,12,125,202
35512113,13,7,23,15
35512121,19,4,62,121
35512401,17,1,258,98
35512412,14,1,23,2
35512737,7,0,18,1
35512798,32,26,48,68
35513595,11,1,79,39
35513612,52,15,492,214
35513643,15,7,121,61
35513678,6,1,8,9
35513811,6,0,6,0
35514294,36,3,399,210
35514760,7,1,10,9
35514799,17,3,195,49
35515486,13,7,45,12
35515676,18,6,46,99
35516100,8,0,13,
35516267,11,5,71,49
35516553,7,3,47,26
35516804,6,1,29,5
35516887,13,3,66,11
35517583,7,0,11,0
35517629,38,4,383,63
35517649,7,1,391,253
35517825,7,1,31,3
35518192,10,2,10,4
35518910,11,2,29,16
35519380,8,0,21,3
35519570,6,3,10,6
35519585,6,0,10,1
35520178,30,2,97,160
35520361,33,3,89,21
35520781,6,2,9,2
35521249,11,2,23,10
35521345,31,2,199,123
35521704,19,9,515,325
35522545,8,0,92,80
35523527,24,34,51,89
35523859,38,19,383,484
35524027,6,1,8,1
35524235,16,2,23,6
35524297,81,51,171,221
35524881,57,13,281,312
35524928,10,0,27,2
35525661,14,2,299,31
35525821,11,1,11,1
35525871,24,13,35,50
35525877,9,1,180,89
35525943,9,4,12,7
35526401,56,34,235,204
35526451,11,1,76,127
35526648,7,0,206,159
35526768,18,5,748,745
35526788,8,0,10,4
35526846,6,0,628,361
35527070,7,1,103,47
35527483,8,0,10,0
35527806,6,7,6,
35527997,7,1,14,2
35528274,21,7,71,22
35528281,91,30,176,289
35528315,27,8,143,3
35528342,13,10,29,29
35528393,8,0,32,6
35528595,39,8,209,262
35528630,7,0,27,3
35529240,39,11,342,238
35529297,11,0,63,13
35530015,6,0,20,1
35530030,32,4,35,7
35530040,20,3,58,11
35530149,15,7,17,15
35530228,6,1,24,1
35530268,19,2,31,5
35530289,8,0,351,142
35530329,24,10,70,28
35530348,6,1,6,
35530372,10,2,143,68
35530513,6,4,38,14
35530566,7,1,8,1
35530635,10,12,19,55
35530698,8,1,17,4
35530991,9,1,14,1
35531252,25,20,55,83
35531546,6,1,76,28
35531833,65,53,99,141
35531989,16,2,781,112
35532458,49,70,67,132
35532479,41,5,551,124
35532546,8,2,39,54
35533200,12,0,80,17
35533227,6,5,9,8
35533711,44,12,326,178
35534290,9,1,65,46
35535185,48,8,60,25
35536550,63,15,1362,209
35536612,22,2,423,326
35536625,6,8,11,93
35537007,6,1,85,34
35538030,11,0,68,62
35538150,21,0,43,0
35538192,21,16,298,305
35538456,10,0,39,22
35538477,21,2,117,47
35538494,34,13,257,320
35538977,7,0,188,57
35539280,71,62,614,1118
35539464,9,0,254,127
35539687,9,2,79,3
35540128,9,1,9,2
35540154,115,69,751,355
35540388,9,6,13,37
35540566,10,0,20,1
35540630,7,0,9,0
35540659,7,1,15,5
35541316,9,11,10,3
35541409,43,19,198,237
35541502,8,3,11,
35541635,7,0,21,6
35541772,39,9,118,197
35541942,13,2,51,148
35541998,6,1,16,4
35542204,8,0,11,3
35542307,30,5,83,27
35542674,9,3,54,13
35543402,18,4,106,107
35543484,7,0,9,0
35543668,13,1,1401,414
35543973,17,13,110,139
35544722,20,7,48,56
35544756,7,0,8,0
35545286,38,17,101,72
35545384,14,8,17,11
35545487,15,5,59,33
35545506,8,0,8,0
35545566,81,47,180,203
35545590,7,2,8,8
35545809,14,0,217,94
35545901,6,1,94,310
35546267,6,0,10,6
35546341,20,10,95,60
35547316,21,1,347,138
35547358,14,2,48,23
35547847,19,0,73,110
35548669,6,1,24,28
35549362,7,1,11,4
35549772,8,2,8,
35550194,15,9,108,96
35550240,6,0,213,113
35550932,6,0,9,0
35551870,7,0,181,72
35553337,70,29,516,213
35553421,73,52,312,352
35553514,8,0,51,55
35553557,6,0,6,
35554397,36,65,54,187
35554413,13,4,233,101
35554459,12,16,26,51
35554460,29,10,331,150
35554892,6,0,8,0
35555056,8,5,12,7
35555098,27,38,39,79
35555263,40,9,183,64
35555274,13,3,168,278
35555371,10,0,47,53
35555384,9,1,13,3
35555470,11,1,26,
35555525,51,16,909,1184
35556108,30,12,52,44
35556857,58,28,68,3
35556899,19,3,161,171
35557335,6,0,15,2
35557985,7,0,8,0
35557989,8,2,9,4
35558268,6,1,8,2
35559076,26,6,193,130
35559124,58,3,441,62
35559145,23,11,186,105
35559383,9,0,53,53
35559862,27,32,37,139
35559890,29,4,85,53
35559925,76,15,296,159
35560019,10,1,48,88
35561520,6,0,33,51
35561546,7,6,25,13
35561747,9,4,158,106
35561765,19,2,19,
35561809,12,10,70,123
35562230,12,2,204,151
35562353,18,15,56,57
35562430,15,1,278,153
35562441,29,26,54,99
35562972,14,3,32,16
35563136,11,3,25,40
35563692,11,1,86,35
35564521,52,35,231,275
35564841,13,6,30,10
35564965,16,3,52,48
35566145,60,21,325,343
35567285,38,7,282,203
35567822,18,5,530,502
35567986,14,6,51,75
35568388,7,0,171,30
35568799,8,6,84,83
35569364,24,4,54,13
35569375,6,0,11,0
35569522,11,0,17,0
35570027,6,2,183,53
35570151,9,0,122,32
35570742,43,4,196,34
35570743,7,0,7,0
35570758,11,0,156,54
35570782,16,14,30,91
35570884,6,2,34,4
35570971,6,0,7,0
35571355,14,4,132,89
35571481,43,13,341,251
35571629,35,5,115,166
35572393,9,7,40,89
35573132,7,0,9,1
35573296,6,2,9,8
35573564,18,8,73,77
35573624,15,1,220,74
35573696,6,0,38,9
35573709,6,0,10,0
35573818,11,4,38,28
35573856,32,7,124,143
35574259,12,5,88,43
35574273,52,28,97,104
35574308,11,15,35,49
35574335,8,1,26,0
35574413,7,1,53,65
35574416,14,2,161,163
35574433,6,4,9,11
35575298,23,3,397,171
35575365,6,1,10,2
35575429,38,8,95,33
35575753,6,0,19,7
35575754,11,4,32,20
35576148,8,0,70,22
35576200,6,0,17,0
35576812,11,6,14,15
35576828,30,22,52,50
35576918,10,0,441,108
35577421,6,3,6,
35577686,13,4,57,68
35577895,24,5,669,371
35578449,6,1,12,2
35579290,6,0,141,66
35579425,9,1,162,223
35579635,20,42,37,115
35580845,49,44,112,122
35580847,39,39,671,611
35580850,7,2,26,
35580984,7,0,26,3
35581031,7,4,78,57
35581197,17,5,75,49
35581232,7,2,47,37
35581266,23,0,71,31
35581460,6,0,7,0
35581579,10,4,57,84
35581654,18,1,174,88
35582798,11,2,82,14
35582947,6,3,27,35
35583180,10,5,29,9
35583228,49,17,607,129
35583349,9,1,276,80
35583743,10,5,227,170
35583853,7,2,54,6
35584187,27,1,120,21
35584191,27,11,81,99
35584272,41,4,152,131
35584295,10,1,60,33
35584324,9,8,28,75
35584351,7,1,37,8
35584380,7,3,8,
35584792,15,7,15,
35586607,8,1,124,63
35586683,29,10,466,371
35586862,8,2,22,2
35588784,15,8,43,101
35589036,6,2,8,9
35589085,13,15,37,148
35589124,34,7,497,182
35589172,8,0,265,39
35589846,10,7,23,20
35590011,20,0,31,1
35590232,30,42,39,84
35590279,12,0,206,162
35590429,6,0,159,19
35590457,7,1,136,138
35590504,9,0,60,56
35590633,6,0,33,6
35590734,80,28,965,361
35591460,27,8,175,112
35591781,6,12,24,97
35592607,13,0,580,289
35592847,32,1,663,236
35593424,10,2,129,42
35593507,10,0,43,19
35593517,6,2,98,62
35593639,9,0,48,7
35594849,11,7,18,18
35595144,6,7,22,49
35595745,30,27,113,167
35597493,11,1,182,230
35597764,12,1,212,172
35597869,7,3,82,13
35598472,12,24,16,50
35598975,19,3,95,88
35599205,8,1,32,8
35599363,7,2,166,96
35599814,39,29,86,118
35600087,18,2,624,730
35600207,6,1,7,1
35600463,18,10,77,90
35600477,13,5,54,74
35601147,15,5,51,29
35602117,9,2,43,3
35602150,11,1,45,60
35603119,8,3,8,3
35603756,25,8,405,441
35603819,17,10,131,49
35603870,7,0,13,0
35603973,35,5,92,20
35603976,22,0,66,34
35604105,9,0,30,2
35604867,20,9,35,24
35605265,19,24,24,46
35605323,69,1,97,132
35605412,13,4,48,22
35605505,9,6,34,33
35606138,6,0,94,21
35606242,7,1,62,48
35606413,8,4,46,80
35606642,42,4,71,58
35607116,6,3,13,10
35608080,7,0,30,0
35608199,13,0,93,97
35608662,33,17,460,544
35608965,16,2,586,357
35609766,15,4,91,121
35611364,25,22,55,62
35611709,8,0,22,0
35611710,38,29,157,167
35611739,47,41,50,56
35612317,6,1,28,64
35612494,34,10,546,265
35613020,6,2,6,2
35613247,30,0,308,78
35614401,50,51,115,201
35614576,6,0,23,2
35614754,38,27,111,230
35615168,10,1,11,3
35615601,12,0,115,44
35615635,6,1,7,1
35615683,20,2,60,92
35615848,30,3,325,114
35616264,20,5,66,52
35616307,7,0,8,0
35616444,7,0,41,10
35616627,9,1,29,1
35617063,6,0,15,3
35617100,11,7,123,169
35617198,95,30,1078,236
35617763,38,43,303,337
35617773,6,0,318,236
35617795,13,2,17,4
35617951,13,0,129,61
35618143,10,2,10,6
35618232,6,0,9,0
35618934,6,0,15,0
35619155,6,3,6,3
35619575,22,10,47,33
35619589,85,70,356,347
35619631,35,41,41,69
35619711,63,26,202,226
35619789,6,7,14,53
35620407,78,43,293,337
35620986,8,0,42,0
35621238,31,0,153,99
35621417,7,1,249,102
35621514,8,2,17,7
35622044,7,0,13,1
35622179,6,5,7,8
35622761,6,0,87,32
35622847,64,21,179,160
35622873,89,71,102,1
35622893,20,7,21,
35623361,6,1,139,64
35623783,12,1,42,15
35624210,9,0,90,85
35624300,6,2,33,62
35624544,28,5,239,82
35624899,8,5,73,73
35625065,18,11,214,215
35626214,17,5,89,86
35627102,7,0,124,72
35627505,6,0,13,0
35627790,45,3,235,120
35628563,8,7,12,12
35628642,20,3,88,50
35628754,25,18,57,75
35628773,9,3,17,5
35629127,24,1,1502,497
35629141,18,0,158,4
35629351,7,2,70,25
35629655,7,2,16,4
35630267,9,2,12,2
35630369,6,3,15,5
35630681,7,1,310,247
35630777,6,1,13,1
35631059,21,25,42,47
35631200,14,4,70,87
35631546,28,0,168,13
35631664,15,6,16,
35631717,11,1,127,68
35632233,8,2,31,10
35632334,19,0,67,21
35632340,9,3,37,32
35632358,9,2,13,6
35633031,9,1,20,6
35633074,7,8,7,10
35633168,6,0,16,
35633490,38,8,242,150
35634056,14,3,60,36
35634590,6,1,24,3
35634636,6,0,11,3
35635209,10,1,283,60
35635491,9,2,526,158
35635633,27,17,37,28
35636058,14,2,46,64
35637085,11,0,59,24
35637882,17,7,196,182
35638740,38,0,122,165
35638899,32,24,316,267
35638902,20,15,119,90
35638917,186,82,775,335
35639068,19,6,76,33
35639673,114,68,143,138
35639791,7,8,7,8
35639893,8,0,120,61
35640002,92,78,955,1234
35640427,37,6,166,90
35640586,8,0,18,4
35640628,25,3,84,27
35641496,6,0,6,0
35642412,13,1,14,1
35642522,32,1,67,3
35642529,8,1,9,1
35642612,18,0,23,0
35642619,14,4,21,5
35642712,10,2,175,102
35642718,6,0,73,23
35642772,40,11,168,46
35642994,7,1,70,21
35643219,43,6,416,89
35643223,17,8,50,47
35643255,6,2,192,110
35643535,6,1,45,22
35643691,6,2,12,17
35643705,20,4,181,149
35644014,57,24,149,168
35644906,9,1,11,3
35645418,11,1,158,210
35646101,7,0,7,0
35646102,7,0,10,0
35646612,52,60,141,198
35647312,6,2,26,15
35647322,13,3,26,14
35647561,8,1,28,4
35647697,6,0,11,0
35648589,6,1,52,62
35648805,6,1,203,100
35648982,22,4,84,158
35649208,8,0,11,0
35649281,6,0,40,15
35650732,6,1,84,24
35651958,6,7,10,11
35652434,10,3,179,207
35652444,12,3,152,185
35652655,39,59,74,169
35652733,10,4,25,14
35652852,9,1,105,19
35652964,8,0,31,121
35653125,8,0,166,222
35653324,14,5,57,67
35653698,6,0,21,10
35653702,9,0,59,23
35653712,9,5,24,17
35653904,17,8,57,125
35653973,6,3,7,4
35654401,71,33,99,46
35654574,8,0,434,285
35654654,10,1,149,210
35654783,18,0,182,112
35655122,9,0,14,0
35655282,42,0,1264,462
35655288,6,2,14,11
35655780,9,1,154,183
35655910,6,0,241,120
35656705,15,0,145,52
35657181,8,4,73,69
35657525,7,1,146,70
35657874,6,1,10,7
35657889,7,0,10,1
35657981,9,0,11,0
35657982,138,88,586,370
35657984,18,6,142,144
35658173,10,1,17,3
35658796,60,67,154,313
35659070,7,0,22,1
35659092,7,0,191,263
35661005,7,1,35,13
35661945,11,5,340,502
35662276,11,0,45,83
35662345,14,2,101,150
35663101,8,6,10,14
35663611,20,4,119,67
35665533,8,4,14,16
35666195,6,0,15,2
35666527,6,0,16,1
35666664,6,1,10,3
35667090,14,18,17,26
35667476,8,1,60,23
35667547,38,32,140,163
35667585,7,5,28,25
35667642,10,1,161,78
35667650,7,1,95,15
35667714,16,0,170,51
35667796,24,9,194,432
35668139,23,2,24,
35668228,16,10,107,145
35668357,79,16,332,333
35668387,14,2,356,214
35669026,9,3,39,54
35669101,9,4,24,18
35669462,8,5,36,47
35669531,21,24,21,46
35669715,6,0,35,6
35670182,6,2,15,
35670723,10,1,55,59
35671932,14,9,61,30
35671968,6,1,597,1037
35671981,13,3,46,43
35675731,19,1,193,125
35675732,27,7,172,261
35676003,7,0,12,7
35676030,7,0,83,23
35676089,13,5,43,37
35676250,7,1,17,2
35676444,8,1,38,4
35676546,16,8,47,72
35676572,20,6,93,110
35677053,7,3,13,16
35677390,6,0,141,77
35677592,20,16,27,27
35677599,7,1,108,11
35677648,8,1,13,1
35677754,35,15,136,72
35677776,14,0,163,68
35677845,11,2,25,19
35678278,22,17,53,57
35678299,8,2,13,
35678372,74,37,176,148
35679724,10,7,17,9
35679814,15,8,42,47
35679911,32,9,337,330
35680376,26,4,111,66
35681284,6,2,29,29
35681341,7,0,23,4
35681342,13,11,113,106
35681357,30,5,132,28
35681456,18,9,36,30
35681471,19,13,32,50
35681810,8,0,212,78
35681824,48,23,351,416
35683254,16,2,421,326
35684828,25,5,586,170
35684869,8,0,18,5
35685518,7,3,195,116
35685560,12,3,93,152
35685721,16,11,110,237
35685790,9,5,41,59
35685824,9,0,9,
35685854,9,2,58,50
35686295,13,0,19,0
35687292,8,1,83,136
35687466,17,1,17,1
35687484,10,0,47,39
35688320,46,3,295,33
35688878,27,24,87,76
35688910,13,0,151,42
35688973,6,0,6,0
35689000,19,13,37,43
35689044,71,7,471,228
35689161,8,1,11,
35689236,10,0,13,
35689381,10,8,108,76
35689706,30,11,274,85
35689808,6,0,12,1
35689885,12,1,36,4
35689969,10,5,10,
35690197,8,0,13,0
35690208,6,0,50,19
35690319,6,0,10,
35690610,27,7,138,24
35690613,10,1,79,47
35690656,19,0,120,16
35690659,16,2,187,141
35690722,9,1,18,2
35690723,8,0,28,0
35690778,24,0,186,106
35690853,19,5,133,87
35690856,7,1,83,12
35691243,54,21,238,131
35691383,55,18,349,342
35691453,7,1,14,11
35691771,26,0,514,600
35691906,8,0,18,1
35692158,6,0,8,0
35692790,19,10,21,11
35692803,8,4,80,30
35692829,32,3,76,11
35693306,6,0,257,118
35693541,10,0,98,48
35694180,8,0,11,2
35694609,14,12,46,46
35695302,6,0,7,
35696041,13,1,108,376
35696889,20,13,32,56
35697501,7,9,10,13
35697869,7,0,43,52
35698432,8,2,15,24
35698983,18,29,61,138
35699036,50,8,115,53
35699648,17,3,57,25
35699753,30,25,35,41
35700881,37,7,396,250
35700918,21,16,196,321
35700963,30,3,201,35
35700970,7,1,7,
35700983,15,15,77,125
35701785,186,21,579,171
35701790,8,1,50,8
35701806,6,1,10,6
35701846,23,3,93,17
35701957,6,0,9,2
35702201,27,6,272,328
35702407,7,1,88,24
35702757,21,5,54,9
35702866,6,0,7,0
35703057,9,3,151,107
35703367,6,0,75,13
35703514,6,1,18,9
35703659,14,0,31,2
35703698,10,1,26,17
35703732,20,1,226,179
35703741,6,1,145,49
35703781,16,14,17,18
35703789,32,11,485,379
35703906,44,16,212,170
35703938,7,3,12,9
35704316,7,0,17,10
35704516,40,15,74,38
35704619,22,3,28,4
35705469,101,27,270,129
35706005,20,4,147,169
35706721,6,0,20,0
35707094,10,4,18,6
35707584,7,0,12,1
35708617,9,5,46,9
35709521,23,2,148,133
35709975,6,3,49,15
35710144,55,13,62,26
35710164,6,2,7,2
35710287,8,3,18,6
35710671,8,4,44,63
35710854,13,5,39,51
35711111,12,0,12,
35711256,7,2,11,5
35712063,30,4,91,54
35712131,28,20,80,170
35712238,12,3,245,85
35712625,23,13,215,235
35712760,8,0,13,0
35713310,19,10,132,105
35713315,7,1,25,3
35713404,7,0,23,54
35713457,48,31,58,41
35713518,9,0,639,282
35713524,7,1,333,242
35713541,11,1,56,32
35713801,16,2,16,
35714145,38,7,283,72
35714198,14,8,16,19
35714210,6,1,8,3
35714228,62,11,499,123
35714294,7,1,436,87
35714487,14,2,49,48
35715432,10,4,43,13
35715548,10,2,42,88
35715816,6,0,72,13
35716250,18,16,33,30
35716455,27,16,91,71
35716585,29,28,54,91
35716768,12,0,54,90
35716824,13,0,69,6
35716963,6,0,255,143
35717378,7,1,12,2
35718996,6,1,13,2
35719208,6,1,49,51
35719559,32,2,37,
35719726,30,21,47,51
35720157,18,2,27,4
35720775,8,0,93,57
35720828,6,0,13,2
35721439,22,7,27,11
35721849,18,0,234,66
35721910,9,4,56,62
35722719,8,1,15,8
35723276,9,5,15,29
35723279,13,5,69,38
35724100,9,3,16,3
35724634,24,7,927,713
35724912,14,12,52,70
35724939,46,21,415,241
35725076,8,5,51,85
35725915,8,3,10,3
35726052,7,1,161,168
35726999,7,3,69,101
35727003,34,26,46,58
35727666,8,3,12,19
35727791,7,0,7,0
35727922,6,1,25,14
35727967,137,29,1095,366
35728178,16,3,26,14
35728216,72,47,392,390
35728229,7,2,41,82
35728495,15,6,51,79
35728565,10,1,23,4
35728632,12,3,37,47
35728642,6,0,7,0
35728893,36,5,58,
35729232,7,3,1888,1769
35729280,14,0,18,2
35729558,28,7,619,193
35729586,9,3,70,28
35729655,18,3,91,44
35729709,61,11,239,183
35729717,14,0,17,0
35729720,7,0,9,0
35729816,46,20,130,97
35730236,6,3,6,
35730434,7,1,27,2
35730626,45,19,136,101
35730853,24,21,53,80
35731148,25,1,39,16
35731539,12,2,159,34
35731672,10,1,11,1
35731750,13,9,40,77
35731856,16,4,68,96
35731962,15,4,91,110
35732042,25,6,311,162
35732384,53,21,289,173
35733337,6,0,6,0
35733515,8,0,178,21
35734006,8,3,11,6
35734010,9,1,28,13
35734487,7,0,10,0
35734787,10,0,27,8
35735329,37,27,47,39
35735375,10,5,80,16
35735828,15,17,41,79
35736552,13,1,121,147
35737284,18,1,123,14
35737791,15,0,24,4
35737862,26,8,385,143
35739519,6,5,240,286
35740001,58,2,427,74
35740494,15,1,171,37
35740613,6,1,41,7
35740708,10,0,26,0
35741609,88,53,290,309
35741626,12,0,67,102
35741700,20,1,78,28
35741708,6,0,11,0
35741780,9,0,31,29
35741804,6,0,18,11
35741921,10,1,46,69
35741922,28,5,126,93
35742051,7,0,31,16
35742476,25,4,666,212
35742606,38,16,614,332
35742845,9,3,10,4
35743404,6,1,12,2
35743433,11,7,44,74
35743446,15,1,30,11
35743628,11,4,71,38
35743664,7,3,123,70
35743727,47,20,153,3
35743778,61,11,163,34
35744069,6,0,22,41
35744130,7,1,255,100
35744326,9,0,19,4
35744488,8,4,11,14
35745170,7,5,8,6
35745237,6,1,12,2
35745361,8,2,22,2
35745494,11,1,125,85
35745682,18,6,52,20
35745880,50,23,120,49
35746022,12,2,350,951
35746123,6,3,23,20
35746177,15,2,74,104
35746249,17,7,59,82
35746653,7,6,14,17
35746847,10,0,270,462
35746888,29,14,39,52
35746949,6,0,23,6
35746991,7,0,128,61
35747252,12,0,15,1
